gene	Estimate	Std. Error	z value	Pr(>|z|)	entrezgene_id	entrezgene_description	external_gene_name	gene_gff	description	gene_name	gene.y	FDR_tol	gene.z	logFC	logCPM	F	PValue	FDR_inf
LOC103826469	0.6434056228988025	1.09679159577848	0.5866252306958338	0.55745543361538	103826469	NADH:ubiquinone oxidoreductase subunit B1	NDUFB1	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1	NDUFB1	103826469	0.624756517982298	103826469	-0.013456259138525448	4.03346276186895	0.05952700153732529	0.807736102227299	0.8987043688137176
LOC103826470	-0.49973775498096545	0.8786421109506599	-0.5687614430866132	0.5695180440007918	103826470	low density lipoprotein receptor class A domain containing 4	LDLRAD4	LDLRAD4	low density lipoprotein receptor class A domain containing 4	LDLRAD4	103826470	0.6357797992901536	103826470	0.16029020801439217	2.601461857021929	2.692350161169715	0.10391907226661908	0.28333069066147404
LOC103826471	-5.170715259828798	1.3040687815211658	-3.9650632950489615	7.337647401069151e-5	103826471	NA	NA	ATXN3	ataxin 3	ATXN3	103826471	0.023293306884048678	103826471	0.12946835783782723	7.81496478977556	4.9554491544101325	0.028212564229413723	0.13083582151819026
LOC103826472	-2.735870255664157	0.9702759560537609	-2.8196826259524137	0.004807116813511038	103826472	thyroid hormone receptor interactor 11	TRIP11	TRIP11	thyroid hormone receptor interactor 11	TRIP11	103826472	0.023293306884048678	103826472	0.0823129471867315	8.15178904957427	1.4926996228970955	0.2246191170918955	0.4409953308042719
LOC103826474	-3.8398006429001934	3.784999253737632	-1.0144785733071007	0.31035444845120963	103826474	tandem C2 domains, nuclear	TC2N	TC2N	tandem C2 domains, nuclear	TC2N	103826474	0.3779599406716004	103826474	0.2488744035443536	0.5071896357166459	2.9511317686499883	0.08891223233235752	0.2603670790650255
LOC103826475	-1.8496575119879142	1.345591905735601	-1.3746051117755151	0.16925390297870627	103826475	protein phosphatase 4 regulatory subunit 3A	PPP4R3A	PPP4R3A	protein phosphatase 4 regulatory subunit 3A	PPP4R3A	103826475	0.22396657600462827	103826475	-0.07765034380616252	9.152731573511641	2.571892897042994	0.1118750399635531	0.2959292743970476
LOC103826476	0.1638748691086058	1.729319423353345	0.09476263719448312	0.9245033644748741	103826476	coiled-coil domain containing 88C	CCDC88C	CCDC88C	coiled-coil domain containing 88C	CCDC88C	103826476	0.9411431396998702	103826476	0.20188058544688278	3.6558772401141324	4.675595586594077	0.032936323345354346	0.1434359491055906
LOC103826478	-2.684991374808565	1.7270175379062385	-1.554698383702422	0.12001791973721206	103826478	ribosomal protein S6 kinase A5	RPS6KA5	RPS6KA5	ribosomal protein S6 kinase A5	RPS6KA5	103826478	0.17309461012110358	103826478	0.2025201874923926	4.196003973664555	13.044670473202233	4.741671645105776e-4	0.016021858927146884
LOC103826479	3.8436287674371776	2.316258465086725	1.6594127233090392	0.09703265419267912	103826479	tetratricopeptide repeat domain 7B	TTC7B	TTC7B	tetratricopeptide repeat domain 7B	TTC7B	103826479	0.1579754812587004	103826479	-0.11338231832801854	2.577315544616738	1.3675035057448564	0.24497368196376756	0.4654670551797631
LOC103826480	0.48422983198918684	0.6493240890013865	0.7457444444020201	0.45582180566804575	103826480	calmodulin 1	CALM2	CALM1	calmodulin 1	CALM1	103826480	0.5269135744016552	103826480	0.13137944961277326	4.780367908476773	2.778320445383861	0.0986217854762687	0.27465122906047373
LOC103826480	0.48422983198918684	0.6493240890013865	0.7457444444020201	0.45582180566804575	103826480	calmodulin 1	CALM2	CALM1	calmodulin 1	CALM1	103826480	0.5269135744016552	103826480	0.13137944961277326	4.780367908476773	2.778320445383861	0.0986217854762687	0.27465122906047373
LOC103826481	1.916229897237708	2.174126647837735	0.8813791501720857	0.3781126387944999	103826481	zinc finger CCCH-type containing 3	ZC3H3	ZC3H3	zinc finger CCCH-type containing 3	ZC3H3	103826481	0.44903652817102946	103826481	-0.06177629869630317	4.587860377275685	2.0978856604206313	0.15057570102494014	0.35009035992500653
LOC103826482	-3.5941042298294765	1.3016794816261654	-2.761128434888921	0.005760201919614886	103826482	NRDE-2, necessary for RNA interference, domain containing	NRDE2	NRDE2	NRDE-2, necessary for RNA interference, domain containing	NRDE2	103826482	0.023394663373020392	103826482	0.02558363322821617	7.348553454345013	0.20234392849551716	0.6537916834997171	0.8039892431245476
LOC103826483	-0.04748033891972328	2.9005855264330327	-0.016369225622563103	0.9869398308548182	103826483	tyrosyl-DNA phosphodiesterase 1	TDP1	TDP1	tyrosyl-DNA phosphodiesterase 1	TDP1	103826483	0.9900153490861268	103826483	0.37303506491045385	0.5507871695335356	8.332009067432114	0.004772752593499084	0.050425771350870285
LOC103826484	-1.9949696055733845	1.2429879452507344	-1.6049790452078447	0.1084984162969904	103826484	forkhead box N3	FOXN3	FOXN3	forkhead box N3	FOXN3	103826484	0.16319744379932122	103826484	0.1443118033471326	5.329312088088831	4.514706543385904	0.036025073004608214	0.1507353682679531
LOC103826485	-3.726598147503092	1.3393652518380401	-2.782361377816096	0.0053964913452649085	103826485	zinc finger CCCH-type containing 14	ZC3H14	ZC3H14	zinc finger CCCH-type containing 14	ZC3H14	103826485	0.023293306884048678	103826485	-0.040894749867213115	5.488486467711299	0.7448362055408058	0.3901443655822707	0.6055480945258104
LOC103826486	-3.785310314552575	1.6672291911112116	-2.2704198887194735	0.023182118888102086	103826486	protein tyrosine phosphatase non-receptor type 21	PTPN21	PTPN21	protein tyrosine phosphatase non-receptor type 21	PTPN21	103826486	0.06436341041535125	103826486	-0.07948619997942609	4.123560040708517	0.5106202128211453	0.4765057988129239	0.6726923151266655
LOC103826488	0.3025699320299872	0.9381633920632046	0.3225130447315545	0.747064057011002	103826488	G protein-coupled receptor 65	GPR65	GPR65	G protein-coupled receptor 65	GPR65	103826488	0.7943104578186989	103826488	0.2935766058458487	2.400438457201461	4.736082801737669	0.031850735817433175	0.1408777740888134
LOC103826490	-7.771084889316306	2.1085530797167067	-3.685505934885161	2.2824876289040164e-4	103826490	NA	NA	SEL1L	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase	SEL1L	103826490	0.023293306884048678	103826490	0.039989200198293676	7.497675190254137	0.9035474961350335	0.34408310827578426	0.5655606993557092
LOC103826491	-1.0647222830854932	5.738316027483288	-0.18554612154264	0.8528007084808135	103826491	stonin 2	STON2	STON2	stonin 2	STON2	103826491	0.8829377620101205	103826491	-0.07320199222810536	0.41743837784055243	0.14749666450713042	0.7017569994513368	0.8355854126131236
LOC103826492	-0.586615740935984	1.1451677468513417	-0.512253110995218	0.6084738767283442	103826492	NA	NA	GTF2A1	general transcription factor IIA subunit 1	GTF2A1	103826492	0.6720928234037024	103826492	-0.08864471321882034	9.744416496278726	2.436765995110554	0.12162317829506883	0.3095387668987356
LOC103826495	-6.236964197594885	4.150141187239032	-1.502831811306197	0.13288242046049475	103826495	centrosomal protein 128	CEP128	CEP128	centrosomal protein 128	CEP128	103826495	0.185323085137828	103826495	0.05227555195798703	2.1197847954248017	0.2931591869534667	0.589387722763065	0.7567738360277754
LOC103826498	9.093417826621918	9.158528975180488	0.9928906543032161	0.32076324469498635	103826498	aarF domain containing kinase 1	ADCK1	ADCK1	aarF domain containing kinase 1	ADCK1	103826498	0.3890057020135621	103826498	-0.12919818835867414	0.9845314078126542	1.466173854874447	0.22877807278919082	0.446190830311156
LOC103826499	0.39818154865119265	1.3739739657336865	0.2898028336647327	0.7719670799058433	103826499	alkB homolog 1, histone H2A dioxygenase	ALKBH1	ALKBH1	alkB homolog 1, histone H2A dioxygenase	ALKBH1	103826499	0.8161370094223028	103826499	0.049841224337603074	3.6140991144467622	0.5657906853695226	0.4536721909560456	0.655724843344495
LOC103826500	3.2901112808058386	0.9478745211632243	3.4710409525178916	5.184449254358279e-4	103826500	SRA stem-loop interacting RNA binding protein	SLIRP	SLIRP	SRA stem-loop interacting RNA binding protein	SLIRP	103826500	0.023293306884048678	103826500	-0.1703907030149418	3.368248650924942	5.175545564719415	0.02500366082929636	0.12171719638311351
LOC103826501	-4.469853457858792	1.9038768070467118	-2.3477640156730604	0.01888648287585965	103826501	SNW domain containing 1	NA	SNW1	SNW domain containing 1	SNW1	103826501	0.053946827207131426	103826501	-0.007975792195042684	7.9350675866200895	0.03838740475339449	0.845057756354732	0.9190318261089301
LOC103826502	-0.9391316210183426	1.6053239159225259	-0.5850106708705296	0.5585405417071894	103826502	NA	NA	SPTLC2	serine palmitoyltransferase long chain base subunit 2	SPTLC2	103826502	0.6256949896422332	103826502	0.058774095347968076	4.907639053409717	1.8152751861419265	0.18086752802873896	0.3890400150024642
LOC103826503	-0.8772389956165663	1.001846054544128	-0.8756225486317238	0.38123526303570365	103826503	activator of HSP90 ATPase activity 1	AHSA1	AHSA1	activator of HSP90 ATPase activity 1	AHSA1	103826503	0.45222104864574764	103826503	-0.004992314471229376	6.609197681613178	0.008255874388720016	0.927780877488567	0.9647294680745255
LOC103826504	3.430099773607314	3.978180596876344	0.8622282699535105	0.3885619159563347	103826504	centrosomal protein 192	CEP192	CEP192	centrosomal protein 192	CEP192	103826504	0.4595008805514242	103826504	-0.14623409138975432	2.088129356847826	1.227035427547188	0.27059866867363846	0.49123650530673485
LOC103826505	0.5249703155626784	1.6171640017358269	0.32462404245901294	0.7454656286497906	103826505	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog	VIPAS39	VIPAS39	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog	VIPAS39	103826505	0.7929961268414185	103826505	-0.03567048463674538	6.031509575538115	0.5962183197018361	0.441813067407708	0.6480241657959582
LOC103826507	1.1773608306856844	1.674841079823332	0.7029686845332672	0.48207526533149286	103826507	transmembrane p24 trafficking protein family member 8	TMED8	TMED8	transmembrane p24 trafficking protein family member 8	TMED8	103826507	0.5523610853536515	103826507	-0.04247692046360717	2.052102614303819	0.4174300863892018	0.5196781004155283	0.7060583577660993
LOC103826508	2.6644525054936303	0.9053935086953107	2.9428668086356806	0.0032518829159589565	103826508	glutathione S-transferase zeta 1	GSTZ1	GSTZ1	glutathione S-transferase zeta 1	GSTZ1	103826508	0.023293306884048678	103826508	-0.1954925232186444	2.8284788645205015	5.167831275968411	0.02510994765453021	0.12196260289343243
LOC103826509	12.24720259567742	4.95038509230968	2.473989874990371	0.013361348342626315	103826509	protein O-mannosyltransferase 2	POMT2	POMT2	protein O-mannosyltransferase 2	POMT2	103826509	0.040148852519611276	103826509	-0.21535597989601235	2.6411596365118606	10.360285160014756	0.0017280031920358747	0.03132795155793943
LOC103826510	5.026562933741859	12.4977234499007	0.4021982846629397	0.6875381045310711	103826510	transmembrane protein 63C	TMEM63C	TMEM63C	transmembrane protein 63C	TMEM63C	103826510	0.743662739628844	103826510	0.06280549253111349	-0.9080546892071748	0.12348693964894285	0.7259637674817817	0.8516788732985237
LOC103826511	-1.409113100267874	1.0892559509153545	-1.2936473737726455	0.19578725090583687	103826511	CLOCK interacting pacemaker	CIPC	CIPC	CLOCK interacting pacemaker	CIPC	103826511	0.2531225039288498	103826511	0.16708471066611502	5.354987210669888	6.31896405636592	0.013512393869822932	0.08746990907191428
LOC103826513	-0.20162934020687062	1.4555643122616397	-0.13852314082473016	0.8898269821799214	103826513	NA	NA	VASH1	vasohibin 1	VASH1	103826513	0.913274956484497	103826513	-0.0965067031660861	11.410746614564355	3.877541830264841	0.05165369507567402	0.18667397612827155
LOC103826514	-0.01139398480067848	1.4734092389686542	-0.007733075441181538	0.9938299599932195	103826514	protein tyrosine phosphatase non-receptor type 2	PTPN2	PTPN2	protein tyrosine phosphatase non-receptor type 2	PTPN2	103826514	0.9951939036389451	103826514	-0.015050041243419066	7.031420233968307	0.1282413767656852	0.7210037829008464	0.849039960695354
LOC103826516	-6.506639940297568	1.7466510882532926	-3.7252087632478545	1.9515364795069358e-4	103826516	G-patch domain containing 2 like	GPATCH2L	GPATCH2L	G-patch domain containing 2 like	GPATCH2L	103826516	0.023293306884048678	103826516	-0.0038822215833276786	6.752941367211883	0.008094440069399786	0.9284885043440506	0.9650055743653907
LOC103826519	2.8641835794656534	1.6440283078885698	1.7421741254225316	0.08147798010322625	103826519	basic leucine zipper ATF-like transcription factor	BATF	BATF	basic leucine zipper ATF-like transcription factor	BATF	103826519	0.1579754812587004	103826519	0.030519569468368236	0.9163553429307167	0.039534574899227216	0.84279372937941055	0.9177143332781489
LOC103826520	4.3618061060639866	4.086145282455771	1.0674623158387906	0.28576312175886204	103826520	Jun dimerization protein 2	JDP2	JDP2	Jun dimerization protein 2	JDP2	103826520	0.351993785257746	103826520	0.1686589093703101	-1.0411553065181651	0.7642762302789867	0.38385455194948714	0.6014051937951052
LOC103826521	-2.817467614364602	0.714932197136354	-3.940887857128144	8.118057425929027e-5	103826521	Fos proto-oncogene, AP-1 transcription factor subunit	FOS	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	FOS	103826521	0.023293306884048678	103826521	0.21253128511101077	7.897742547837347	3.821965514838483	0.05332645838965765	0.19032209511599854
LOC103826522	-1.3481567939075076	0.9438723181694946	-1.4283253867663637	0.15319822402759917	103826522	acylphosphatase 1	NA	ACYP1	acylphosphatase 1	ACYP1	103826522	0.20653297013845992	103826522	0.04625537828155956	3.4584444762535496	0.27893256304201564	0.5985512052163893	0.7645467418972917
LOC103826523	-1.1368295018079964	1.3113575354441835	-0.8669104123635734	0.3859910979749348	103826523	eukaryotic translation initiation factor 2B subunit beta	EIF2B2	EIF2B2	eukaryotic translation initiation factor 2B subunit beta	EIF2B2	103826523	0.4570203638855075	103826523	-0.021033209604132835	5.648850552326011	0.26071348185944443	0.6107356429786973	0.7732678430939098
LOC103826524	1.0274283997796319	0.8895793136949817	1.1549598601973738	0.24810686433583118	103826524	dihydrolipoamide S-succinyltransferase	DLST	DLST	dihydrolipoamide S-succinyltransferase	DLST	103826524	0.31046689216824885	103826524	-0.07722657077885743	6.000860939495731	1.82001412883959	0.18030406610842448	0.38842013111498414
LOC103826525	-1.6070743662269955	1.1622478978157913	-1.3827294239440358	0.16674784629550263	103826525	NA	NA	YLPM1	YLP motif containing 1	YLPM1	103826525	0.22112885223993434	103826525	-0.039323153021629864	7.124791859896373	0.4798290903607566	0.4900766031713244	0.6839764765999788
LOC103826526	3.552819963262649	2.7159008307428105	1.3081552621679995	0.190820652758859	103826526	FCF1 rRNA-processing protein	FCF1	FCF1	FCF1 rRNA-processing protein	FCF1	103826526	0.24762490367102905	103826526	-0.05230987417049707	3.2088019343987284	1.156751295348354	0.28468314502280745	0.5066914293507698
LOC103826527	-0.061727590803184434	1.073255055638193	-0.05751437226305835	0.9541354576495528	103826527	apoptosis resistant E3 ubiquitin protein ligase 1	AREL1	AREL1	apoptosis resistant E3 ubiquitin protein ligase 1	AREL1	103826527	0.9645345941029994	103826527	-0.07525849751810612	8.098781849316659	2.262966706935969	0.13559562872542916	0.3301853395603154
LOC103826528	2.2617138870184257	1.2852731530862926	1.7597145646335424	0.07845621507620228	103826528	NA	NA	SYNDIG1L	synapse differentiation inducing 1 like	SYNDIG1L	103826528	0.1579754812587004	103826528	-0.9133730876008367	2.2454251333941078	8.56096730838938	0.004237507804384989	0.04758041170479194
LOC103826531	-0.9383872310532861	3.566486415098716	-0.2631125207937495	0.7924638536644871	103826531	NA	NA	ALDH6A1	aldehyde dehydrogenase 6 family member A1	ALDH6A1	103826531	0.8331921666149978	103826531	0.1417515050057486	0.9030040196008634	1.7755575870051892	0.18570114081895883	0.3940012151823711
LOC103826532	-1.895381855453654	0.6535862811632679	-2.8999719089577733	0.003731961040069352	103826532	coenzyme Q6, monooxygenase	COQ6	COQ6	coenzyme Q6, monooxygenase	COQ6	103826532	0.023293306884048678	103826532	0.08958217316661982	5.059973897654256	0.9216659041207423	0.3393122665619396	0.5601336540694855
LOC103826533	-3.4549980370897266	1.4084148216569328	-2.4531111033218798	0.014162658769653287	103826533	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)	ENTPD5	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)	ENTPD5	103826533	0.042109638507905105	103826533	-0.030988341561094233	9.513741982504685	0.3620056154128404	0.5487317852106578	0.7273479857284787
LOC103826534	-0.46690008638080516	1.7358765144830555	-0.2689707951488981	0.7879521568422604	103826534	FAM161 centrosomal protein B	FAM161B	FAM161B	FAM161 centrosomal protein B	FAM161B	103826534	0.8294844859813651	103826534	-0.05706034490613217	3.3568121470292693	0.4063535678474336	0.5252573900920314	0.710401765132585
LOC103826535	0.15201711822154731	1.8942381711850615	0.08025237825634318	0.9360365326362491	103826535	proteasome assembly chaperone 2	PSMG2	PSMG2	proteasome assembly chaperone 2	PSMG2	103826535	0.9508050832996722	103826535	-0.05867467646551336	3.2312955716424714	0.37267934183755086	0.5429081143639449	0.7238494352791681
LOC103826536	-5.519083366855731	1.340593552575346	-4.1168953529974095	3.840103266748587e-5	103826536	F-box protein 33	FBXO33	FBXO33	F-box protein 33	FBXO33	103826536	0.023293306884048678	103826536	0.11020029374427873	7.8428772480274125	3.57934478077843	0.0613433886736533	0.20683624368994716
LOC103826537	-2.374486828236318	1.4055664755744826	-1.6893450928856415	0.09115331662891756	103826537	zinc finger protein 410	ZNF410	ZNF410	zinc finger protein 410	ZNF410	103826537	0.1579754812587004	103826537	0.023469122870105334	5.597598042789829	0.20515669268583206	0.651554017391219	0.8030707374759476
LOC103826538	0.889710396846682	0.9156010617104613	0.9717227666649794	0.3311884874667268	103826538	MIA SH3 domain ER export factor 2	NA	MIA2	MIA SH3 domain ER export factor 2	MIA2	103826538	0.40002364616989805	103826538	-0.019394875980220782	4.349286631805301	0.044505623350202514	0.8333373831250921	0.9128669563814108
LOC103826539	0.22448856966098207	1.473010298781809	0.1524012220733527	0.8788704932622172	103826539	pinin, desmosome associated protein	PNN	PNN	pinin, desmosome associated protein	PNN	103826539	0.9042384804831674	103826539	0.02129541741789281	5.438467717927184	0.2730670287565102	0.6024169254515939	0.7668274229506293
LOC103826540	0.8462551873211925	1.0193885728624246	0.8301595778584445	0.4064485660712134	103826540	trafficking protein particle complex 6B	TRAPPC6B	TRAPPC6B	trafficking protein particle complex subunit 6B	TRAPPC6B	103826540	0.47757415611158816	103826540	-0.07802658841055082	3.857240896031795	1.3770329651717135	0.24334533926058785	0.4633581461076767
LOC103826541	-0.9955657041506724	0.6689781802324355	-1.4881886040061345	0.13670116176432964	103826541	Sec23 homolog A, COPII coat complex component	SEC23A	SEC23A	SEC23 homolog A, COPII coat complex component	SEC23A	103826541	0.1891444547606864	103826541	-0.16786269182639973	5.882268529136747	2.2901881696845563	0.1332920064123595	0.32706895523727053
LOC103826544	17.337877906299074	6.662627937514429	2.602258158327714	0.009261210841952819	103826544	NA	NA	MIPOL1	mirror-image polydactyly 1	MIPOL1	103826544	0.030089312961080434	103826544	-0.22420308710383927	0.3622768885589576	1.4819826271542855	0.2263416578342607	0.44302239124876636
LOC103826545	-1.8350288422298002	1.7212098172806212	-1.06612733892548	0.28636608264731894	103826545	centrosomal protein 76	CEP76	CEP76	centrosomal protein 76	CEP76	103826545	0.35267034085901017	103826545	-0.15560441151389684	2.1370016121387425	1.9088663493477946	0.1701178562416816	0.3769880777709062
LOC103826546	2.746266910376196	1.5052937876818715	1.824405928496791	0.0680907263927405	103826546	solute carrier family 25 member 21	SLC25A21	SLC25A21	solute carrier family 25 member 21	SLC25A21	103826546	0.1487881612125144	103826546	-0.24176148684367577	0.32980918445468055	1.1963682490430754	0.276690229818928	0.4982341475406336
LOC103826548	0.018634614287017664	1.2512484424428378	0.014892817169575794	0.988117690356624	103826548	NA	NA	BRMS1L	BRMS1 like transcriptional repressor	BRMS1L	103826548	0.9908638867901349	103826548	-0.0012014658963229333	4.886834485592249	3.566907411361264e-4	0.9849688039357607	0.9942609624634566
LOC103826549	-0.7097501856850368	0.6717791255022035	-1.056523131995873	0.290729278269651	103826549	NA	NA	NFKBIA	NFKB inhibitor alpha	NFKBIA	103826549	0.3574672379683089	103826549	0.23450284501206345	3.736780547204527	5.949499289466958	0.016451712684020754	0.09637895449994767
LOC103826550	0.5002580862715714	1.3912130854017624	0.35958408637818706	0.7191581858694593	103826550	NA	NA	PSMA6	proteasome 20S subunit alpha 6	PSMA6	103826550	0.7710929532619419	103826550	-0.04206157648906366	6.21748202322561	0.6210732940249294	0.4324795974351552	0.6393176657737076
LOC103826552	0.3936051485861668	1.0087468829895447	0.39019218321614024	0.6963944413436294	103826552	signal recognition particle 54	SRP54	SRP54	signal recognition particle 54	SRP54	103826552	0.7513362168395074	103826552	-0.0125929399131903	7.820519432908232	0.04717558173997568	0.8284875730850089	0.9101271638298729
LOC103826553	1.0363962034935081	1.927312540627277	0.5377416384974049	0.590755428557568	103826553	cofilin 2	CFL2	CFL2	cofilin 2	CFL2	103826553	0.6555873776070297	103826553	-0.09112634993979522	3.4761197604334004	1.96442719862753	0.16408234942392538	0.3684004858285788
LOC103826554	1.4800833917885552	2.7899000148962254	0.5305148513874642	0.595755014789154	103826554	NA	NA	SNX6	sorting nexin 6	SNX6	103826554	0.6601093428133191	103826554	0.07908615705076404	1.4637006391164642	0.938648802386048	0.33493064129868866	0.555572629979282
LOC103826555	-0.6797571353892418	0.872910982527842	-0.7787244621676649	0.43614204298110004	103826555	PRELI domain containing 3A	PRELID3A	PRELID3A	PRELI domain containing 3A	PRELID3A	103826555	0.5073618366427437	103826555	0.06265019028833567	5.715237227530651	0.7017628222365909	0.40415406602742276	0.6158109787608147
LOC103826556	0.3315147751975181	0.4938216745002394	0.6713248776150214	0.5020135897782414	103826556	NA	NA	SPTSSA	serine palmitoyltransferase small subunit A	SPTSSA	103826556	0.5713978648309626	103826556	-0.1673090508796884	6.6324554049740625	1.8875323955326246	0.17249752380862166	0.3791513341721923
LOC103826560	-6.615894384994367	1.822579399534089	-3.629962231925592	2.834626929182035e-4	103826560	Rho GTPase activating protein 5	ARHGAP5	ARHGAP5	Rho GTPase activating protein 5	ARHGAP5	103826560	0.023293306884048678	103826560	-0.005297750637430615	6.839897333579366	0.01126154807223647	0.9156955841742302	0.9589385991292158
LOC103826562	1.8421106093652482	3.7574391855678995	0.4902569325514796	0.6239520984508844	103826562	HEAT repeat containing 5A	HEATR5A	HEATR5A	HEAT repeat containing 5A	HEATR5A	103826562	0.6867175007721764	103826562	0.005843348324755448	2.4924065611360047	0.0036036700903312	0.9522490547415712	0.9775981735913375
LOC103826563	-1.6460930234540885	0.9008421184258846	-1.827282483561539	0.06765730752660275	103826563	NA	NA	HECTD1	HECT domain E3 ubiquitin protein ligase 1	HECTD1	103826563	0.14829506243848295	103826563	-0.08269254044408643	9.060979193658683	1.352425419462622	0.2475727990878204	0.4685294831358543
LOC103826564	-3.6467640601794544	1.986189421843858	-1.8360605590145673	0.06634870065528085	103826564	adaptor related protein complex 4 subunit sigma 1	AP4S1	AP4S1	adaptor related protein complex 4 subunit sigma 1	AP4S1	103826564	0.14662089361391112	103826564	0.003332449146406541	1.932729704514705	0.0023491640215832785	0.9614382594160311	0.9825034797066071
LOC103826565	-2.5312716918856717	1.5883147040297576	-1.5936839755141168	0.11100683513270192	103826565	NA	NA	STRN3	striatin 3	STRN3	103826565	0.16510602113424058	103826565	-0.03050240171633841	5.9426323428740515	0.4226385465717681	0.5170874978427736	0.7039407448491993
LOC103826567	-3.6129449230252586	3.047973951860315	-1.18535951425048	0.23587533185802967	103826567	NA	NA	SCFD1	sec1 family domain containing 1	SCFD1	103826567	0.2970972320940059	103826567	0.32876133067437174	1.2804887344125329	10.872149673720223	0.0013473378576065748	0.02798837437321449
LOC103826568	-4.352384415362046	2.588619538242494	-1.6813534592715909	0.09269427978942658	103826568	G2/M-phase specific E3 ubiquitin protein ligase	G2E3	G2E3	G2/M-phase specific E3 ubiquitin protein ligase	G2E3	103826568	0.1579754812587004	103826568	0.034686061496245285	3.8207615336430774	0.38246686194360635	0.537667215102706	0.7203036441931252
LOC103826570	-3.2663067002429127	1.2389078657861798	-2.636440360454243	0.008378092634654813	103826570	AFG3 like matrix AAA peptidase subunit 2	AFG3L2	AFG3L2	AFG3 like matrix AAA peptidase subunit 2	AFG3L2	103826570	0.02807002995574042	103826570	0.025560380412980862	7.500153668504524	0.21618452208040267	0.6429554265365078	0.7966865945980298
LOC103826571	-2.22464860457275	0.9960460563698208	-2.2334796572366153	0.025517330359439677	103826571	protein kinase D1	PRKD1	PRKD1	protein kinase D1	PRKD1	103826571	0.06988955831013033	103826571	0.1092811655834799	4.610429514882313	1.392386124488946	0.2407522429385501	0.46065392346271666
LOC103826573	-9.028114511292165	13.049126547756316	-0.6918558478417447	0.4890278603148725	103826573	syntaxin binding protein 6	STXBP6	STXBP6	syntaxin binding protein 6	STXBP6	103826573	0.5590981846714205	103826573	0.21829521840562482	-1.2647456968718407	1.4767463687295088	0.22654603793387726	0.44326763070826863
LOC103826576	5.306530256473794	5.732358545142891	0.9257149940437853	0.3545941135689754	103826576	NA	NA	ZNF770	zinc finger protein 770	ZNF770	103826576	0.4247781066410208	103826576	0.08988158131818243	0.5384916766559177	0.5953825439744467	0.4421635503240602	0.6481027381462252
LOC103826577	3.180185449877122	6.636385938605235	0.479204416273822	0.6317932127911757	103826577	diphthamine biosynthesis 6	DPH6	DPH6	diphthamine biosynthesis 6	DPH6	103826577	0.6940910211391396	103826577	0.4822680647089611	-0.8200519078133984	8.179180501612434	0.005086604947440076	0.05217594586124153
LOC103826578	2.1008259000651033	0.9069207141838361	2.316438324992606	0.020534348242083653	103826578	tubulin beta 6 class V	TUBB6	TUBB6	tubulin beta 6 class V	TUBB6	103826578	0.05797397567561381	103826578	-0.6670017598045349	2.935508489791426	11.143643725194627	0.0011787855565792162	0.0266914223329991
LOC103826581	3.3068964061794617	11.36277870768433	0.2910288487747368	0.7710292558565982	103826581	sprouty related EVH1 domain containing 1	SPRED1	SPRED1	sprouty related EVH1 domain containing 1	SPRED1	103826581	0.8153292942607261	103826581	0.16945003335913367	-0.2652202148463836	1.275029041356679	0.26154474898626767	0.4816907510017086
LOC103826582	24.04555244199958	13.639491459516032	1.7629361412315283	0.07791126063206469	103826582	neuroendocrine protein 7B2	NA	ARHGAP11A	Rho GTPase activating protein 11A	ARHGAP11A	103826582	0.1579754812587004	103826582	0.23936880211306658	-0.48948026384225196	2.738427745816206	0.10106470001389477	0.27839983239567073
LOC103826582	24.04555244199958	13.639491459516032	1.7629361412315283	0.07791126063206469	103826582	neuroendocrine protein 7B2	SCG5	ARHGAP11A	Rho GTPase activating protein 11A	ARHGAP11A	103826582	0.1579754812587004	103826582	0.23936880211306658	-0.48948026384225196	2.738427745816206	0.10106470001389477	0.27839983239567073
LOC103826587	0.08825413609148218	1.3332859189476882	0.06619295594236667	0.9472242048204745	103826587	ER membrane protein complex subunit 7	EMC7	EMC7	ER membrane protein complex subunit 7	EMC7	103826587	0.9593497498712317	103826587	-0.018960903416666664	2.0404743218428734	0.0678053070761553	0.7950862205580753	0.8914702086676427
LOC103826588	1.1065083501960098	3.07818445154797	0.35946785113528995	0.7192451238745385	103826588	katanin regulatory subunit B1 like 1	KATNBL1	KATNBL1	katanin regulatory subunit B1 like 1	KATNBL1	103826588	0.7711498954185148	103826588	0.11064905278080306	0.649402362207802	1.5546981894883511	0.21534739431056563	0.4299887814758657
LOC103826591	-1.9195809305724167	0.9123516539259184	-2.1039923831039427	0.03537911144196466	103826591	signal recognition particle 14	SRP14	SRP14	signal recognition particle 14	SRP14	103826591	0.09180004307613937	103826591	0.03412450828490235	6.073246892095536	0.22910647088990424	0.6332133913480877	0.7899063839493691
LOC103826592	-0.025430290011109333	1.01080418434224	-0.025158473228578462	0.9799285600254357	103826592	Bcl2 modifying factor	BMF	BMF	Bcl2 modifying factor	BMF	103826592	0.9848874862387468	103826592	0.31803924748984197	4.06024125488374	6.046161784868336	0.015623197124519698	0.09333761688797167
